李贮运保鲜与加工|属于|食品加工领域|135
李果实|含有|酚类物质|135
酚类物质|包括|酚酸、黄烷醇、黄酮醇和花青苷|135
新绿原酸|属于|酚酸类物质|135
绿原酸|属于|酚酸类物质|135
儿茶素|属于|黄烷醇类物质|135
表儿茶素|属于|黄烷醇类物质|135
芦丁|属于|黄酮醇类物质|135
矢车菊素-3-葡萄糖苷|属于|花青苷物质|135
矢车菊素-3-芸香糖苷|属于|花青苷物质|135
芍药素-3-葡萄糖苷|属于|花青苷物质|135
芍药素-3-芸香糖苷|属于|花青苷物质|135
总酚含量|测定|福林-酚法|135
吸光度值|测定|总酚含量|135
单体酚|测定|高效液相色谱法|135
出汁率|反映|李的制汁特性|135
李|属于|核果类水果|135
褐变度|测定|美拉德反应|135
抗坏血酸降解|属于|非酶促褐变|135
酚类化合物的氧化聚合|属于|非酶促褐变|135
李高效生产及绿色防控技术|属于|农业技术|136
李|属于|水果类|136
吸光度值|属于|物理量|136
果汁|具有|非牛顿特性|136
屈服值|属于|物理量|136
塑性流体|属于|流体类型|136
牛顿流体|属于|流体类型|136
李果汁|黏度|受品种影响|136
李果汁|黏度|受成熟度影响|136
李果汁|加工适宜性|评价|136
李果汁|采收期|评估|136
重庆巫山脆李|感官指标|基本要求：果实完整|136
重庆巫山脆李|感官指标|基本要求：色泽纯正|136
重庆巫山脆李|感官指标|基本要求：新鲜洁净|136
重庆巫山脆李|感官指标|基本要求：无病虫刺伤|136
重庆巫山脆李|感官指标|基本要求：果面特有的白色粉层明显|136
重庆巫山脆李|感官指标|基本要求：平均单果重35克|136
重庆巫山脆李|感官指标|基本要求：整齐度好|136
重庆巫山脆李|感官指标|色泽：果皮绿色或黄绿色|136
重庆巫山脆李|感官指标|风味：肉质脆嫩|136
重庆巫山脆李|感官指标|风味：汁多味香|136
重庆巫山脆李|感官指标|风味：酸甜适度|136
重庆巫山脆李|感官指标|形态：果形端正|136
重庆巫山脆李|感官指标|形态：近圆形|136
重庆巫山脆李|感官指标|形态：缝合线明显|136
重庆巫山脆李|感官指标|形态：离核|136
重庆巫山脆李|理化指标|可溶性固形物：≥12|136
重庆巫山脆李|理化指标|可滴定酸：<0.9|136
重庆巫山脆李|理化指标|可食率：≥96|136
重庆巫山脆李|分级指标|特级果：单果重大于45克|136
重庆巫山脆李|分级指标|特级果：果形端正|136
重庆巫山脆李|分级指标|特级果：酸甜适口|136
重庆巫山脆李|分级指标|特级果：脆嫩化渣|136
重庆巫山脆李|分级指标|特级果：汁多味香|136
重庆巫山脆李|分级指标|特级果：果粉完整|136
